"Source:","/mnt/DATA2/pCloud/job/KiCAD/rover_commander/Rover_Commander_v3.1a.sch"
"Date:","Fri 08 Dec 2017 12:31:54 EET"
"Tool:","Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1"
"Component Count:","75"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BZ1","Buzzer","Buzzers_Beepers:Buzzer_12x9.5RM7.6","","",""
"C1","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C2","220uF x 30V","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"C3","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C4","0.33uF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C5","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C6","0.1uF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C7","100nF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C8","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C9","12pf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C10","10uF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C11","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C12","4.7uF x 10V","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"C13","12pf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C14","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C15","22uF x 10V","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"C16","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C17","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C18","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C19","100nf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C20","12pf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C21","12pf","Capacitors_SMD:C_0603_HandSoldering","","",""
"C22","10pF","Capacitors_SMD:C_0603_HandSoldering","","",""
"D1","PMLL4148L.115","Diodes_SMD:D_SC-80_HandSoldering","","",""
"D2","PMLL4148L.115","Diodes_SMD:D_SC-80","","",""
"D3","BAT54A","TO_SOT_Packages_SMD:SOT-23","","",""
"D4","PMLL4148L.115","Diodes_SMD:D_SC-80","","",""
"D5","PMLL4148L.115","Diodes_SMD:D_SC-80_HandSoldering","","",""
"D6","M4 BAV16W or 1N4148WS","Diodes_SMD:D_SOD-323_HandSoldering","","",""
"D7","SMAJ33CA-TR","Diodes_SMD:D_SMA","","",""
"D8","SMAJ33CA-TR","Diodes_SMD:D_SMA","","",""
"L1","4R7K","Inductors_SMD:L_1210_HandSoldering","","",""
"L2","4R7K","Inductors_SMD:L_1210_HandSoldering","","",""
"LED1","LED_Dual_CAC","LEDs:LED_D5.0mm-3","","",""
"LED2","LED_Dual_ACA 5mm R G","LEDs:LED_D5.0mm-3","","",""
"Q1","Crystal KX-7 25MHz","Crystals:Crystal_SMD_7050-4pin_7.0x5.0mm","","",""
"Q2","Crystal KX-7 25MHz","Crystals:Crystal_SMD_7050-4pin_7.0x5.0mm","","",""
"R1","49.9 Ohm 1%","Resistors_SMD:R_0603_HandSoldering","","",""
"R2","4k7","Resistors_SMD:R_0603_HandSoldering","","",""
"R3","49.9 Ohm 1%","Resistors_SMD:R_0603_HandSoldering","","",""
"R4","49.9 Ohm 1%","Resistors_SMD:R_0603_HandSoldering","","",""
"R5","49.9 Ohm 1%","Resistors_SMD:R_0603_HandSoldering","","",""
"R6","2k 1%","Resistors_SMD:R_0603_HandSoldering","","",""
"R7","200","Resistors_SMD:R_0603_HandSoldering","","",""
"R8","75","Resistors_SMD:R_0603_HandSoldering","","",""
"R9","75","Resistors_SMD:R_0603_HandSoldering","","",""
"R10","4k7","Resistors_SMD:R_0603_HandSoldering","","",""
"R11","4k7","Resistors_SMD:R_0603_HandSoldering","","",""
"R12","4k7","Resistors_SMD:R_0603_HandSoldering","","",""
"R13","4k7","Resistors_SMD:R_0603_HandSoldering","","",""
"R14","4k7","Resistors_SMD:R_0603_HandSoldering","","",""
"R15","200","Resistors_SMD:R_0603_HandSoldering","","",""
"R16","22","Resistors_SMD:R_0603_HandSoldering","","",""
"R17","680","Resistors_SMD:R_0603_HandSoldering","","",""
"R18","680","Resistors_SMD:R_0603_HandSoldering","","",""
"R19","22","Resistors_SMD:R_0603_HandSoldering","","",""
"R20","10k","Resistors_SMD:R_0603_HandSoldering","","",""
"R21","9k","Resistors_SMD:R_0603_HandSoldering","","",""
"R22","2.2k","Resistors_SMD:R_0603_HandSoldering","","",""
"R23","2k","Resistors_SMD:R_0603_HandSoldering","","",""
"R24","60","Resistors_SMD:R_0603_HandSoldering","","",""
"R25","60","Resistors_SMD:R_0603_HandSoldering","","",""
"R26","100k","Resistors_SMD:R_0603_HandSoldering","","",""
"R27","100k","Resistors_SMD:R_0603_HandSoldering","","",""
